StudentID,OrderedCourseSequence
STNR002472,"['2318', '1901', '30032', '1920', '62733', '62734', '62732', '1920', '62735', '30081', '30082', '31035', '62732', '1920', '31200', '62743', '62734', '62767', '62735', '62711', '31301']"
STNR002473,"['30032', '2318', '62733', '62734', '62732', '62736', '30081', '30082', '62732', '62736', '62732', '31200']"
STNR002474,"['1901', '1920', '30032', '2318', '62733', '62734', '62732', '62736', '30081', '30082', '1920', '62738', '31035', '62739', '62732', '62711', '31301', '31036', '2633', '31301', '30032', '31200', '62999', '22003', '31036', '62737', '62737', '31220', 'PRA31-30']"
STNR002475,"['41129', '46300', '41319', '46200', '46320', '31200', 'S46-02-1', 'E46-45']"
STNR002476,"['42634', '42634', 'S31-10-1', 'S31-10-1', '22004', '31200', '22002', 'S22-05-1', 'S22-05-1', '22003', '31250']"
STNR002477,"['62733', '62734', '62732', '62736', '30082', '62737', '31036', '62711', '62736', '31301', '62738', '10935', '31035', '62739', '31236', '2323', '2631', '62733', '22000', '31200', '62999', 'PRA31-30', 'DE22-20']"
STNR002481,"['47318-1', '10112', '42490', '10316', '47325', '10304', '10314', '10112', '10306', '12205', '10305', 'S46-05-1', '47316', '10333', '10323', '10350', '10323', 'E46-30', '10305']"
STNR002482,"['2633', '1035', '34029', '10036', '33255', '1325', '42610', '10102', '34020', '34127', '10384', '10303', 'B10-15', '1715', '10112', '10122', '47325', '10346', '10302', '10306', '1617', '10405', '10385', '10350', '10304', '2450', '42490', '10603']"
STNR002483,"['10033', '33472', '10031', '26000', '10034', '1005', '2633', '1037', '10347', '34029', '10036', '34031', '10102', '2403', '10112', '22600', '10316', '10303', '34020', 'B10-15', '2393', '10405', '10122', '10384', 'S30-05-1', '42490', '10386']"
STNR002484,"['10033', '33472', '10031', '1035', '26000', '10034', '10209', '1005', '2632', '33255', '34029', '10036', '33257', '34031', '10102', '2403', '42611', '10112', '10405', '10303', '34020', '22601', 'B34-15', '34034', '34032', '2393', '10122', '10316', '34051', 'S30-05-1', '42490', '10386', '34051']"
STNR002485,"['34051', '10302', '34032', '10122', '10333', '10112', '30754', '33621', '10304', '10220', '10333']"
STNR002486,"['2633', '2402', '34029', '10036', '33255', '33257', '42610', '10102', '33471', '34020', '33257', '47202', '1418', '10303', '10405', '47302', '10331', '10260', 'B10-15', '10112', '42490', '10122', '10316', '10304', '10112', '10302', 'S22-05-1', '10200', '10333', '42002', '34540', '42576', '34552', '22652']"
STNR002487,"['26008', '26000', '28001', '26006', '1015', '26201', '26301', '26400', '26201', '26400', '26004', '1035', '26222', '26010', '1035', '26400', '26201', '28020', '2633', '42611']"
STNR002488,"['26008', '28001', '26006', '1015', '26201', '26301', '26400', '2633', '26004', '1035', '26222', '26010', '2402', '42610', '10034', '10020']"
STNR002489,"['26008', '26000', '28001', '26006', '1015', '26201', '26301', '26400', '2633', '26004', '1035', '26222', '26010', '27008', '28121', '28160', '28020', '28221', '10020', '2403']"
STNR002490,"['26008', '26000', '28001', '26006', '1015', '26201', '26301', '26400', '2633', '26004', '1035', '26222', '26010', '26407', '28121', '28160', '28020', '10020', '2403', '27022']"
STNR002491,"['26008', '26000', '28001', '26006', '1015', '26201', '26301', '26400', '2633', '26004', '1035', '26222', '26010', '27008', '28121', '28160', '28020', '10020', '2403']"
STNR002492,"['26008', '26000', '28001', '26006', '1015', '26201', '26301', '26400', '2633', '26400', '26004', '26411', '26222', '26010', '26407', '28020', '26426', '10020']"
STNR002493,"['26008', '28001', '26000', '26006', '26000', '28001', '26006', '1015', '26201', '26301', '26400', '26004', '1037', '26411', '26222', '26010', '2402', '27008', '28160', '28020', '10020', '10020', '2632']"
STNR002494,"['26008', '28001', '26000', '26006', '26301', '26201', '1015', '26003', '26400', '26201', '26400', '26004', '26010', '26171', '26271', '10916', '1015', '1901', '26271', '26471', '1920', '23932', '26374', '28016', '26271', '28022', '28016', '28022', '28322', '2323', '28022']"
STNR002495,"['26008', '28001', '26000', '26006', '26301', '26201', '1015', '26400', '2633', '26004', '1035', '26222', '26010', '27008', '28020', '28160', '10020', '28221', '2403', '42611', '26411', '28140', '27026', '28125', '27022', '27034', 'B28-20', '28530', '28310', '28361', '28443', '28423', '42504']"
STNR002496,"['26400', '1015', '26411', '1035', '26010', '2402', '2402', '27008', '28020', '10020', '2633', '1015', '62420', '62422', '62523', '62423', '62452', '62450', '62453', '62454', '62908', '62418', '62581', '62484', '62517', '62512', '62560', '62521', 'PRA62-30', '2450', '62999', '2450']"
STNR002497,"['26411', '1035', '26222', '26010', '27008', '28160', '28020', '28221', '10020', '2633', '10020', '2402', '28140', '42610', '28150', '28125', '27022', '2601', 'B28-20', '28420', '28420', '28315', '28852', '28852', '28530', '28361', '28443', '28423']"
STNR002498,"['26008', '28001', '26000', '26006', '26006', '26400', '26301', '26201', '26400', '26010', '10916', '26271', '1901', '26374', '23932', '26471', '26271', '1920', '28322', '26474', '28016', '28022']"
STNR002499,"['26008', '28001', '26000', '26006', '26400', '1015', '26301', '26201', '26003', '1037', '26411', '1037', '26222', '26010', '28121', '28020', '10020', '2633', '1017', '2402', '12102', '42611', '25105', '26411', '2601', '42340']"
STNR002500,"['26008', '28001', '26000', '26006', '26400', '1015', '26301', '26201', '26003', '28001', '26411', '1035', '26010', '26407', '28020', '28160', '10020', '26428', '27002', '28150', '28121', '28140', '26222', '2633', '2402', '28221', '28140', 'B28-20', '42611']"
STNR002501,"['26008', '28001', '26000', '26006', '26400', '1015', '26301', '26201', '26003', '1035', '26222', '26010', '28121', '28020', '10020', '28221', '42101', '2633', '42406', '27002', '28150', '12139', '28140', '42430', '2402', '42610', 'B28-15', '26610']"
STNR002502,"['26008', '28001', '26000', '26006', '26400', '1015', '26301', '26201', '26003', '26400', '1035', '26222', '26010', '28121', '28020', '28160', '10020', '42101', '42429', '42005', '2402', '28150', '12139', '42611', '42107', '28160', 'B12-20', '2632']"
STNR002503,"['30032', '1901', '2318', '1920', '62733', '62734', '30081', '62732', '62736', '30082', '2323', '62737', '62711', '31301', '31036', '31035', '62743', '62739', '31405', '62148', '41030', '62999', '2502', '31342', '2450', 'PRA31-30']"
STNR002504,"['30010', '31001', '2138', '31011', '31012', '31003', '2102', '2139', '1005', '2402', '1035', '31400', '42611', '22050', '31405', '31300', '10024', '31015', 'S31-10-1', '22051', '1017', '2450', '31418', '26027', '10102', 'B31-15']"
STNR002505,"['10033', '30100', '30120-1', '26027', '10034', '1005', '2633', '31001', '30131', '1035', '31400', '30010', '30150', '30020', '30160', '30110', '30141', '2402', '42421', '2450', '30300', '42611', '31405', '31300', '31003', 'B30-15', '30330', '42634', '1418', '31385', '30340', 'S31-10-1', '30320', '1418', '31390']"
STNR002506,"['10033', '30100', '30120-1', '26000', '10034', '1005', '2633', '31001', '30131', '1035', '31400', '30010', '31405', '31605', '30020', '30110', '30141', '42611', '22051', '31417', '2405', '31418', '30150', '31300', '2105', 'B30-15', '30300', '2450', '42634', '30340', '31428', '31445', '31420', '31428']"
STNR002507,"['10033', '30100', '30120-1', '1035', '26027', '10034', '1005', '2633', '31001', '30131', '2138', '31400', '30010', '31373', '30020', '30160', '30110', '30141', '42611', '31405', '30150', '31003', 'B30-15', 'S30-05-1', '30230', '30300', '30201', '30320', '30794']"
STNR002508,"['31405', '2155', '62738', '31035', '62736', '31301']"
STNR002509,"['31001', '2138', '31012', '31011', '31003', '2139', '2102', '1005', '30010', '1037', '2155', '31400', '1017', '31300', '31405', '31605', '2105', '10024', '31015', '42611', '2402', '31405', '26027', '2631', 'B31-15', '31391', '34366', '42490', '2450', '31385', '31392', '2221', '31388', '34372']"
STNR002510,"['30032', '2318', '1901', '1920', '62733', '62734', '30081', '62732', '62736', '30082', '2323', '31035', '62743', '62739', '62711', '31405', '31301', '31036', '62737', 'S31-10-1', '31415', '31418', '62999', 'PRA30-30']"
STNR002511,"['30032', '2318', '1901', '1920', '62733', '62734', '30081', '62732', '62736', '30082', '2323', '31035', '62743', '62739', '62711', '31405', '31301', '31036', '62737', 'S31-10-1', '31415', '2450', '31418', '62999']"
STNR002512,"['30032', '2318', '1901', '1920', '62733', '62734', '30081', '62732', '62736', '30082', '2323', '31035', '62743', '62739', '62711', '31405', '31301', '31036', '62737', 'S31-10-1', '31415', '31418', '34120', '62999']"
STNR002513,"['30032', '2318', '62733', '62734', '30081', '62732', '62735', '30082', '62711', '31301', '62737', '2632', '31035', '2402', '62743', '62739', '31405', '30340', '62767', '62768', '31405']"
STNR002514,"['62507', '1901', '62506', '62505', '62514', '62577', '1920', '2326', '2320', '1920', '2323', '62588', '2332', '2321', '62575', '62716', '2346', '62501', '62410', '62575', '62716', '31001', '62588', '31400', '2332', '31405', '2323', '62999', '31405']"
STNR002515,"['10033', '30100', '30120-1', '1035', '26027', '1005', '10034', '2633', '30131', '31001', '2601', '31400', '30010', '30150', '30160', '30020', '30141', '30110', '42611', '2402', '34021', '2450', '1418', '2417', '42611', '31405', 'B30-15']"
STNR002516,"['10033', '30100', '30120-1', '26027', '1005', '10034', '2403', '1037', '30131', '31001', '1017', '31400', '2633', '30150', '30160', '30020', '30141', '30110', '30300', '2450', '2417', '42611', 'B30-15', '31405']"
STNR002517,"['2318', '1901', '30032', '1920', '62733', '62734', '62732', '62735', '30081', '30082', '2323', '62743', '62739', '31405', '62767', '62737', '62711', '31301', '62768']"
STNR002518,"['1901', '1920', '30032', '2318', '62733', '62734', '62732', '62736', '30081', '30082', '62738', '2323', '31035', '62739', '31405', '62737', '62711', '31301', '31036', '34349', '31415', '31418', 'PRA31-30', 'DE62-20', '62999', '2633']"
STNR002519,"['1901', '1901', '1920', '30032', '2318', '62733', '62734', '62732', '30081', '30082', '10935', '31035', '62739', '62737', '31373', '62711', '31301', '31036', '1920', '62743', '62999', '62739', '30032', '31405', '62735', '31342', '2631', '31745', '31351', '30032', '62733', '30032', '31035', '31418', '10935', 'PRA62-30']"
STNR002520,"['30020', '30330', '10467', '42610', '31003', 'B30-15', '30020', '2403', '2138', '31342', '30720', '31400', '30010', '31003', 'B30-15', '2138', '30230', '30545', '30021', '30300', '30201', '30340', '31405', '30320', '30350', '42490', '30220', 'E30-35']"
STNR002521,"['30010', '2402', '1035', '31400', '31343', '31605', '2105', '31300', '31015', '10024', '2155', '31606', '31631', '31070', '31383', '31351', '31405', '42610', 'B31-15', '31352', '31354', '31415', '31632', '42490', '31420', '31633', '31634', '31310', '2205', '10850', '31445']"
STNR002522,"['30131', '31001', '1035', '2138', '31400', '31405', '2138', '42610', '30160', '31300', '30110', '30020', '30010', '1035', '42406', '2101', '31342', '31400', '2631', '31003', '30150', '31373', '30141', '30141', '1035', '31400', 'B30-15', '1035', '31375', '31391', '31383', '42634', '31385', '31392', '31388', '31386', '31390']"
STNR002523,"['10420', '1037', '30131', '31001', '31400', '30150', '30141', '30160', '30020', '2403', '30010', '42611', '2138', '1017', '2156', 'S30-10-1', '31405', '31373', '31300', 'B10-15', 'B10-15']"
STNR002524,"['41000', '41713', '41501', '1005', '10022', '2403', '1037', '41312', '41603', '42406', '1037', '41502', '2633', '41659', '26027', '41801', '31373', '42101', '42429', '42005', '42587', '41564', '41612', '42112', '42610', 'B42-20']"
STNR002525,"['41000', '41713', '41501', '1005', '10022', '2403', '1037', '41312', '41603', '42406', '41560', '41502', '2633', '41659', '26027', '42415', '41801', '31373', '42421', '42005', '41612', '42430', '42610', 'B41-20']"
STNR002526,"['41603', '42406', '41312', '41502', '41617', '2633', '41659', '1035', '26027', '41511', '41801', '42430', '31373', 'B46-15', '42610', '41612', '41560', '31300', '41083', '41635', '42490', '41514', '41628', '31383', '41512', '41528', '41563', '41315', '2431']"
STNR002527,"['41000', '26027', '41713', '41501', '1005', '10022', '42340', '10022', '41603', '41312', '41502', '41045', '2631', '41659', '31373', '41704', '41801', '2631', '41612', '41051', '1037']"
STNR002528,"['46310', '46420', '46320', '41612', '46200', '41514', '41315', 'E46-35']"
STNR002529,"['46310', '46420', '41612', '46300', '31721', '46310', 'E46-30']"
STNR002530,"['26371', '26171', '26173', '10916', '1901', '28012', '41012-2', '41010', '42011', '41618', '1005', '41020', '41051', '41015', '41612', '2633', '41015', '41031', '41028', '42042-3', '41029', '42022']"
STNR002531,"['41012-2', '41010', '42011', '41618', '1005', '41020', '2632', '41051', '41015', '41612', '41084', '41031', '34021', '41028', '42042-3', '41029', '42022']"
STNR002532,"['41012-2', '41010', '42011', '41618', '1005', '41020', '41051', '27002', '41015', '41612', '2633', '41031', '41028', '42042-3', '41029', '42415', '42022', '42429']"
STNR002533,"['41012-2', '41010', '42011', '41618', '1005', '41020', '41051', '41015', '41612', '2633', '41031', '2402', '41028', '42042-3', '41029', '42022']"
STNR002534,"['41012-2', '41010', '42011', '41618', '1005', '41020', '1005', '41051', '41015', '41612', '2633', '41031', '2402', '41028', '42042-3', '1005', '41029', '42022', '42429']"
STNR002535,"['41012-2', '41010', '42011', '41618', '2631', '41020', '41051', '41015', '41612', '1035', '41031', '41028', '42042-3', '41029', '42022']"
STNR002536,"['2631', '26027', '1005', '2403', '41012-2', '1034', '41010', '42011', '41618', '2450', '41020', '1017', '41051', '41015', '41612', '41031', '41028', '42042-3', '41029', '42022']"
STNR002537,"['41012-2', '41010', '42011', '41618', '1005', '41020', '41051', '41015', '41612', '2631', '42430', '41031', '34021', '41028', '42042-3', '41029', '42022']"
STNR002538,"['41012-2', '41010', '42011', '41618', '1005', '41020', '2632', '41051', '41015', '41612', '42430', '41031', '2402', '41028', '42042-3', '41029', '42022']"
STNR002539,"['41012-2', '41010', '42011', '41618', '1005', '41020', '41051', '41015', '41612', '2633', '41031', '41028', '42042-3', '41029', '42415', '42022']"
STNR002540,"['41012-2', '41010', '42011', '41618', '1005', '41020', '41051', '41015', '41612', '2633', '41031', '2402', '41028', '42042-3', '41029', '42022']"
STNR002541,"['41012-2', '41010', '42011', '41618', '1005', '41020', '41051', '41015', '41612', '2633', '41031', '2402', '41028', '42042-3', '41029', '42022', '42429']"
STNR002542,"['41012-2', '41010', '42011', '41618', '1005', '41020', '41051', '41015', '41612', '2633', '41031', '2402', '41028', '42042-3', '41029', '42022']"
STNR002543,"['41012-2', '41010', '42011', '41618', '1005', '41020', '2632', '41051', '41015', '41612', '42430', '41031', '2402', '41028', '42042-3', '41029', '42022']"
STNR002544,"['41012-2', '41010', '42011', '41618', '1005', '41020', '41051', '41015', '41612', '2633', '41031', '2402', '41028', '42042-3', '41029', '42022', '42429']"
STNR002545,"['41012-2', '41010', '42011', '41618', '1005', '41020', '2632', '41051', '41015', '41612', '41084', '41031', '34021', '41028', '42042-3', '41029', '42415']"
STNR002546,"['41012-2', '41010', '42011', '41618', '1005', '41020', '2632', '41051', '41015', '41612', '1035', '41031', '41028', '42042-3', '2601', '41029', '42022']"
STNR002547,"['41012-2', '41010', '42011', '41618', '1005', '41020', '1005', '41051', '41015', '41612', '2633', '41031', '41028', '42042-3', '41029', '42022']"
STNR002548,"['41010', '42011', '41618', '1005', '41020', '41051', '41015', '41612', '2633', '41031', '2402', '41028', '42042-3', '41029', '42022']"
STNR002549,"['2450', '2105', '22107', '2418', '2110', '27641', '22126', '2456', '2477', '34290', '22115', 'S01-05-2']"
STNR002550,"['42575', '41628', '42401', '42071', '42430', '42433', '42490', '42185', '42417']"
STNR002551,"['41012-2', '42087', '42085', '42071', '41084', '41072', '42090', '42083', '41073', '41628', '42081', '2266', '41737', '41083']"
STNR002552,"['41515', '2411', '41733', '41628', '31383', '41808', '41237', '41615', '41522', '42490', '41514', '41813']"
STNR002553,"['42085', '41628', '42401', '42351', '42452', '42370', '42490', '42634', '42417']"
STNR002554,"['41263', '41632', '42101', 'B41-15', '41560', '42490', '41628', '41083', '41512', '41563', '41514', '41512', '41315', '2431']"
STNR002555,"['30010', '31001', '2138', '31011', '31012', '31003', '2102', '2139', '1005', '2402', '1035', '31400', '34338', '22050', '31300', '10024', '2105', '31015', '22051', '2502', '34021', '2450', '1418', '42611', '10346', '26027', '10104', 'B34-15']"
STNR002556,"['10346', '26317']"
STNR002557,"['10033', '10859', '26000', '10031', '10034', '1005', '2633', '1035', '22600', '10036', '34029', '10346', '1325', '10102', '34020']"
STNR002558,"['34355', '2233', '2170', '42490', '34330', '34368', '34351', '2393', '2239', '34369', '34343', '2393', '2808', '34352', '2808']"
STNR002559,"['28242', '26433', '26130', '28315', '2157']"
STNR002560,"['28344', '28344', 'PRA28-30', '26407', '28342', '28016', '26416', 'DE12-20', '26411', '36617', '26426', '27322', '26245', '26436', '26438', '26422', '26433', '28315', '28316', '26446', '26426', '26444', '42490', '26610', '26444', '26422', '26433', '28315', '26436', '28212', '28212']"
STNR002561,"['26422', '28242', '26433', '28315']"
STNR002562,"['28213', '26433', '28872', '22281', '28212', '41737', '28214', '28420', '42490', '28315', '28316', '28216']"
STNR002563,"['B26-20', '26255', '28213', '26433', '28242', '28315', '28316', '26317', '28212', '41737', '26231', '26245', '26438', '26438', '26422', '26433', '26330', '28310', '26317', '1227', '26231', '1227', '26422', '26317', '26231']"
STNR002564,"['41972', '26330', '28315', '26330', 'S47-10-1', 'E47-30']"
STNR002565,"['2633', '27002', '2402', '34029', '10036', '42610', '10102', '34020', '10102', '41603', '10303', '33255', '10467', '41650', '41312', 'B33-15', '34020', '47202', '10333', '27026', '10304', '47319', '46230', '42003', '28870', '47330', '47305', '34552', '34553', '47317', '47301']"
STNR002566,"['10020', '10033', '33472', '10031', '26000', '10034', '1005', '2633', '27002', '10347', '1035', '10467', '10036', '1005', '34020', '10102', '10209', '42610', '1005', '10036', '34029', '10102', '34020', '1005', '2403', '10102', '1037']"
STNR002567,"['26474', '28322', '28016', '28022', '41683', '2323', '2508', '28344', '28022', '28157', '28352', '26411', '62999', 'PRA27-30', '26411', '42348', '42348', 'DE22-20', '28855', '26426', '28342', '42490', '42429', '26407', '26422', '26433', '26416', '26444', '26428', '28212', '26426', '22508', '28212']"
STNR002568,"['42610', '26416', '42610', '26428', 'B26-20', '26436', '26433', '27430', '27322', '33902', '28850', '22231', '27423', '22179', '27430', '28233', '23259', '22236', '28345', '27102', '27692', 'E22-30']"
STNR002569,"['27002', '26050', '36004', '27022', '27023', '1005', '26400', '24005', '26400', '24001', '26411', '42610', '27015', '26426', '36611', '10050', '28025', '2633', '26004', '2633', '2402', '26407', '22140', '26416', '22110', '23258', '26428', 'B26-20', '22231', '26422', '27430', '26436', '22235', '27322', '28850', '27101']"
STNR002570,"['28855', '26433', '42490', '28316', '47304', '26317', '28855', '26125', '26231', '26317', '26416']"
STNR002571,"['26134', '26422', '47310', '26433', '26416', '26446', '26317', '26444', '27322', '47301', '26446', '26444', '26317']"
STNR002572,"['12104', '12111', '12130', '12240', '12237', '12330', '42429']"
STNR002573,"['11821', '11832', '11823', '11834', '62268', '11836', '11825', '11837', '11833', '11834', '11829', '11831', '11835', '62267', '62265', '1920', '62269', '1920', '62276', '62277', '62270', '12202', '62279', 'PRA62-30', '62118', '62202', '12130', '62999', '62134', '62270', '42381', '62134']"
STNR002574,"['B12-15', '12240', '12130']"
STNR002575,"['11462', '12003', '1005', '12134', '12102', '2633', '25105', '10022', '12205', '12203', '42340', '10022', '2402', '11203', '12139', '12210', '12143', '25104', '10022', '42610', '42429', 'B12-15', '12145', 'B12-15', '12227', '12104', '12130', '12240', '12237', '28871', '12231']"
STNR002576,"['34345', '1035', '1035', '1035', '12140', '42988', '62202', '62202', '42988', '62202', '62202']"
STNR002577,"['12104', '12336', '12140', '12237', '12231']"
STNR002578,"['42003', '42002', '28870', '11115', '47330', '12240', '11129', '42490', '11127', '42429']"
STNR002579,"['31380', '11115', '31354', '12240', '31236', '42543', '31905', '46415', 'S22-10-1', '2450', '42490', 'E22-30']"
STNR002580,"['42349', '42274', '42350', '12240', '42275', '28855']"
STNR002581,"['11121', '2631', '10018', '1037', '11112', '41102', '11343', '42610', '12240', '11112', '41102', '11031', '11562', '11343', '11462', '11691', '1037']"
STNR002582,"['12202', '26050', '12000', '1005', '12205', '42415', '12003', '12500', '11462', '10022', '12203', '2632', '2402', '12139', '12102', '42611', '12143', 'B12-20', '12104', '27002', '12240']"
STNR002583,"['42349', '12104', '42350', '12240', '42378-2', '30754', '12237', '12227', '42372', '42274', '42631', '25325', '12142', '12132', 'E42-32']"
STNR002584,"['34345', '42178', '42007', '42184', '42401', '12240', '42401', '11404', '42180', '42185', '42187', '42282']"
STNR002585,"['12202', '26050', '12000', '27008', '25105', '1005', '26400', '12003', '26400', '41102', '12102', '12134', '2633', '26400', '12320', '10022', '25102', '12203', '41112', '25104', '42610', 'B12-20', '30532', '12104', '12240', '2402', '12237', '42429']"
STNR002586,"['12202', '26050', '12000', '26202', '1005', '12205', '26400', '12003', '2632', '12102', '12134', '12143', '2402', '10022', '42610', '12203', '42610', '28864', 'B12-20', '2450', '11462', '42340', '12104', 'B12-15', '12240', '12237', '42490', '12331']"
STNR002587,"['10856', '22511', '42490', '22600', '22651', '10304', '22281', '34430', '22235', '2633', '22512', '10321', '22656', 'S22-10-1', 'E22-30']"
STNR002588,"['1901', '41533', '41781', '62645', '62145', '62603', '62904', '1920', '62770', '62694', '41534', '41860', '41534', '62694', '41533', '41786', '62799', '41784', '62657', '62697', '62904', '62770', '62694', '62629', '41534', '62145', '41315', '41402', '62904', '2601', '41402']"
STNR002589,"['41681', '1901', '41782', '62675', '62145', '62146', '1901', '62675', '1901', '1920', '41781', '62646', '62675', '62603', '62145', '62699', '62094', '1920', '1901', '62668', '62079', '62646', '62603', '62646', '62668', '62770', '62904', '62675', '62694', '62770', '62904', '41533', '62657', '41786', '41860', '62799', '41786', '62635', '41402', '41422', '41784', '41534', '62694', '62675', '62694', '62799', '41784', '41534', '41342']"
STNR002590,"['41525', '41524', '2411', '41516', '41811', '46411', '41512', '46910', '41517', '41527', '41514', 'S46-05-1', '41526', '42490', '41617', 'E46-35']"
STNR002591,"['42490', '41617', '41733', '41743', '41744', '41736', '41747', '41742', '41811', '41732', '46411', '41656', '41661', '41663', '41667', '41747', 'E46-32', '41661', 'E46-32']"
STNR002592,"['12202', '26050', '12000', '25105', '27008', '1005', '11462', '25102', '1005', '12102', '41102', '2633', '12320', '10022', '25104', '12203', 'S25-10-1', '2402', '42351', '42611', '25107', 'S25-07-1', '2633']"
STNR002593,"['12202', '26050', '12000', '25105', '26400', '1005', '12205', '12003', '2402', '12102', '41102', '2633', '2402', '12143', '10022', '12203', '42611', '47202', '27002', '12102', '12139', '41102', '41112', '12320', 'B12-15', '42429']"
STNR002594,"['12202', '26050', '12000', '25105', '27008', '1005', '12205', '25102', '12134', '12102', '41102', '2633', '12320', '10022', '25104', '12203', '2402', 'B12-15', '42611', '25107', 'S25-10-1']"
STNR002595,"['12202', '26050', '12000', '27008', '26400', '1005', '12205', '12003', '12139', '12102', '41102', '2633', '12143', '12320', '10022', '12203', '42611', '47202', '42421', '2402', '47302', '12227', '12138', 'B12-20', '42429']"
STNR002596,"['12202', '26050', '12000', '25105', '27008', '1005', '12205', '12003', '12139', '12134', '12102', '2633', '2402', '12143', '10022', '42340', '12203', '42611', '47202', '28870', '25301', '42351', '42430', 'B28-20', '11462', '42415']"
STNR002597,"['12202', '26050', '12000', '25105', '27008', '1005', '12205', '12003', '12205', '1005', '12102', '12143', '10020', '1005', '42340', '12203', '10020', '12134', '2402', '62202', '12139', '25301', '2631', '42611', '42107', '25104', '2402', '12227', '42381', '12331']"
STNR002598,"['12202', '26050', '12000', '25105', '27008', '1005', '12205', '25102', '12134', '12102', '41102', '2633', '12320', '10022', '25104', '12203', 'S25-05-1', '42281', '2402', '12139', '25301', '30530', '42610']"
STNR002599,"['26030', '26030', '27016', '2631', '2631', '12701', '2402', '10240-1', '1006', '1006', '10018', '10018', '26030', '26030', '12701', '1006', '1006', '2632', '10240-1', '47202', '1034', '25106', '42610', '47203', '27022', '27008', '27023', '28025', '10018', '10018', '33270', '27008', '28025', '27022', '42610', '23272', '47202', '12102', '23511', '23272', '12102', '23552', '10018', '10018', '42610', '11222', '27008', '12102', '27022', 'B23-15', '27026', '10018', '10018', '12102', '27034', '27026', '27022', '10018', '10018']"
STNR002600,"['26030', '2631', '27016', '12701', '27008', '1006', '10018', '10240', '2631', '2402', '1034', '25106', '27026', '42610', '2135', '47203', '12143', '27022', '27023', '28025', '12205', '22400', '12134', '12102', '25325', '41102', '42430', '12320', 'B25-15']"
STNR002601,"['12202', '26050', '12000', '27008', '25105', '1005', '12205', '12003', '12102', '1005', '12203', '1005', '10020', '2402', '12139', '12134', '41102', '12210', '12143', '10020', '42610', '42340', '26202', '2632', '10020', '42005', '2402', 'B12-15', '26400', '10603', '11462', '42415', '26202', '26400']"
STNR002602,"['12202', '12000', '25105', '1005', '12205', '12003', '2632', '12102', '26050', '12500', '2402', '10022', '12203', '42611']"
STNR002603,"['12202', '26050', '12000', '25105', '1005', '12205', '26400', '12003', '1005', '2402', '41102', '12102', '12500', '25104', '10022', '12203', '2631', '12210', '12320', '27008', '42610', '12104', 'B12-20', '12342', '42490']"
STNR002604,"['12202', '26050', '12000', '27008', '11462', '25102', '1005', '2632', '12102', '26050', '12500', '25105', '10022', '12203', '2402', '42421', '42005', '42611', '25310', 'B25-20', '12003', '2492', '12134', '12139', '2405', '2441']"
STNR002605,"['12202', '26050', '12000', '27008', '25105', '11462', '25102', '1005', '41102', '12102', '12134', '2633', '12320', '10022', '12203', '12003', '2402', '42421', '25301', '25325', '42611', 'B25-20', '26400', '2409', 'S25-05-1', '25307', '25316']"
STNR002606,"['12202', '26050', '12000', '11462', '1005', '12205', '12003', '1035', '41102', '12102', '2633', '10022', '10034', '12203', '42340', '42611', '2402', '12143', '25105', '12227', '12139', '25325', 'B12-15', '11857', '11858', '11859']"
STNR002607,"['11462', '12003', '2633', '2402', '12102', '41102', '12500', '25105', '25104', '10022', '12203', '42340', '25327', 'B12-15', '42610', 'S25-05-1', '25303', '25318', '25301', '25325', '25333', '2411', '25307', '25311', '25302', '25312', '25315', '25321', '25326', '25310', '25316', 'S25-05-3']"
STNR002608,"['11462', '12003', '26400', '27002', '12102', '41102', '2633', '25104', '25102', '10022', '12203', '10022', '30532', '25325', '12134', '12139', 'S25-05-1', '25327', '25105', '12205', '2403', '42611', 'B25-20', '25333', '25310', '2411', '2411', '25303', '25318', '25323', '25301', '25302', '25307', '12231']"
STNR002609,"['12003', '1037', '2402', '12102', '41102', '2633', '12320', '42610', '10022', '12203', '42270', '11857', '11858', '11859', 'B30-15', '42429']"
STNR002610,"['62507', '1901', '62506', '62505', '62514', '62577', '1920', '2326', '2320', '12202', '26050', '12000', '27008', '1005', '11462', '12205', '12003', '12205', '27008', '2402', '26050', '12102', '25105', '27008', '1005', '11462', '12205', '42340', '12203', '2632', '12134', '2402', '41102', '2631', '11203', '42611', '12320', '12205', '1005', '10022', '11462', '42340']"
STNR002611,"['12202', '26050', '12000', '12143', '27008', '1005', '12205', '2633', '12134', '12102', '12139', '2633', '25105', '10022', '12003', '12203']"
STNR002612,"['12202', '26050', '12000', '25105', '27008', '1005', '26400', '2633', '12003', '2633', '12134', '2402', '12102', '2633', '12143', '2402', '12320', '10020', '2402', '12203']"
STNR002613,"['12202', '26050', '12000', '26050', '1005', '42610', '12205', '47202', '12102', '2633', '2402', '1005', '11462', '12003', '12203', '1005']"
STNR002614,"['12202', '26050', '12000', '25105', '1005', '11462', '12205', '42340', '2402', '12102', '41102', '42611', '10022', '2631', '12203']"
STNR002615,"['12202', '26050', '12000', '25105', '27008', '1005', '11462', '2633', '12003', '12134', '12102', '41102', '42611', '12320', '26400', '10022', '12203']"
STNR002616,"['12202', '26050', '12000', '12143', '1005', '12205', '42340', '12102', '12139', '41102', '2633', '12320', '10022', '12003', '12203', '42611']"
