Course,Prerequisites
02471,"(01025/01034/01035/01037).­(02402/02403/02405/02323).­(02450).­(02462/22051/31606/31610/30160) , Linear algebra, Fourier series,
   basic probability theory, basic knowledge of machine learning,
   basic knowledge of linear systems and signals, and knowledge of
   either Matlab or Python"
02477,"02405.02450(02002/02631/02632/02633) , Linear algebra, introductory
   statistics and probability theory. Probability theory.
   Introduction to machine learning, Python
   programming"
02526,"(01025/01035).­02601.­(02403/02402).­(02002/02525/02631).­(10018/10022) , Knowledge of mathematical
   analysis, linear algebra and numerical analysis. Fundamental
   physics including mechanics. Knowledge of statistics and Matlab
   or Python programming. It will be an advantage to have knowledge
   of image analysis."
02623,"(02002/02631/02632/02633).­(02601/02603) , Basic course in programming with
   Matlab. Basic course in numerical
   algorithms."
02635,"02525/02002/02631/02633.­02601, or similar courses that provide
   knowledge of numerical methods and basic concepts in computer
   science such as loops, variable types, and simple mathematical
   operations."
02807,"Solid programming experience. At minimum a course in
programming plus additional experience from another course or
programming project. The course uses Python. The participants are
expected to at least have basic experience in Python. Tutorials are
available on the net, e.g.,https:/​/​docs.python.org/​3/​tutorial/​.
Only a short brush-up will be provided."
01227,"(01001/01003/01005).­(01017/01019) , Mathematical
   maturity."
02413,"02402, or a similar course in elementary
statistics"
23301,"23102, Knowledge on analytical chemistry
and chemical contaminants is advantageous"
23302,"Courses 26400 or 26471, or corresponding knowledge"
26130,"26124.26301/26300, Knowledge about physical
   chemistry for atoms and molecules corresponding to Atkins
   ""Physical Chemistry"" 12. ed., Chapter 8 og 9 is
   recommended."
26290,"Completion of chemistry, biochemistry, and physics courses of
two or three terms' duration of a science curriculum at Danish
universities."
26317,"26300/26301.26428/27022, The basic course of chemistry or
   biotechnology must be passed."
26330,"26000/26050/26171/26027, General Chemistry"
26433,"26411, Organic Chemistry
2"
26438,"26428.26411, Spectroscopy of Organic Compounds
   and Organic Chemistry 2"
26444,"26433, Organic Chemistry
3."
11116,"11115, Course 11115 Integrated design or
similar course and knowledge of the topic building energy"
11222,"11202/11203, Man and the physical environment/
   Introduction to Indoor Environment"
10303,"(10034/10018).­(10036/10041/31400).­(10102/10104) , thermodynamics,
   electromagnetism, and quantum
   mechanics"
26134,26124
26236,"01005.26201.10020.26231, Mandatory mathematics and
   physics."
26422,"26411.27002/27020, Organic Chemistry 2.
   Bioscience."
28212,26411
28310,"Bachelor degree You like to challange your technical skills in
a realistic, but difficult and diffuse context of open ended
problems from “real life”. You have a broad knowledge of organic,
inorganic, biological, physical, and technical chemisty, incl. mass
and heat balances, unit operations, thermodynamics, reaction
engineering and mathematical modelling."
28315,"26201, A relevant Bachelor
degree"
47303,"26006.26173, Bachelor in Chemistry and
   Technology, Physics and Nanotechnology, General Engineering
   (Cyber materials and Future energy) or similar bachelor
   programme"
02234,"02232/02233, The course is an advanced course
   that requires a basic understanding of computer and network
   security."
31385,"02101/02102, Knowledge of C /
   C++"
42186,"02806/02450/02807/42184/02402/02403, Fundamental statistics and
   probability (e.g. 42585 Business Analytics); knowledge of
   computer programming (e.g. Python, R, Matlab, Julia, C++,
   Java)."
42187,"Basic statistics/probability theory.; Basic calculus (02323 /
02402 / 02403 or similar courses; 01901/01920 or similar
courses)"
42380,"42101.­02402/02403.­42402/42587, (or similar introductory courses
   in OR, statistics and SCM). It is expected that participants
   have some basic programming skills in languages such as R,
   Python, Matlab, Julia, or similar."
42417,"02402/02403/02405, Introduction to statistics (or
   similar course in statistics and/or probability theory). Basic
   knowledge of programming (such as ""if-then-else""
   statements and ""for"" loops)."
42578,42577
42875,"42101, or another introductory course in
operations research"
42115,"42101, The course requires the student to
have taken an introductory course in Operations
Research."
42117,02105
42136,"42112, The programming language Julia,
using the Math. Programming package Jump will be used in the
exercises and in the assignments."
42137,"42101, Introduction to Operations Research
and programming experience. The course heavily relies on your
ability to program."
42142,"42101, General knowledge of Operations
research and Operations Management"
42459,"42401.­42415/42945.­42101/02701, Introduction to Management
   Science Engineering Economy Operations Reserach"
42178,"02323/02402/02403, or similar statistics
   course"
02612,"02610.­(02002/02631/02633).­02601, An introductory optimization
   course, experience with Matlab, Python, or Julia programming,
   and an introduction to numerical
   algorithms,"
42613,"The course is recommeded at 4-6
semester."
02435,"(42112/42002/42111) , or similar. This course will
   build on modeling using mathematical programming. Knowledge of a
   programming language such as Python or Julia is an advantage,
   but is not required."
02506,"02502/0251/02512. , Introductory course in image
   analysis, e.g. 02502, 02511 or 02512."
02561,"(01002/01004/01005/01006).­(02002/02100/02393/02635) , Programming experience (for
   instance Python, Java, C/C++, JavaScript, or
   Matlab)"
01257,"01617.­(02002/02003/02631/02632/02633/02525) , Basic knowledge of differential
   equations. Basic experience in programming, see e.g. the DTU
   course
   02002/​02003/​02631/​02632/​02633/​02525"
02458,"02450.(02454/02464) , Probability theory, fundamental
   machine learning and basic programming. Knowledge or interest in
   cognitive science."
02686,"02601.­(02002/02631/02632/02633/02692) , Basic course in numerical
   algorithms, eg 02601. Basic knowledge in programming, eg 02631.
   02687 can be followed in the same semester as 02686. Both
   courses can be taken independently."
31598,"31001.31511, It is an advantage, but not a
   requirement, to have prior course work in electric circuits and
   human physiology."
02257,"01019.02157.02141, Discrete mathematics, functional
   programming and basic knowledge of regular and context-free
   languages as well as semantics."
10250,"10036.10303.33257, Electromagnetism, solid state
   physics, possibly introductory course in visualization
   techniques"
33206,"Basic knowledge of solid state physics on the level of e.g.
Nanoscale Material Physics 10303 or Physics of Quantum-Based
Electronic Components 10307. Familiarity with basic quantum
mechanics at the level of Advanced Quantum Mechanics
10112."
10122,"Bachelor degree in science or technology. Knowledge of basic
statistical physics."
10304,"10300/10303/10317, or equivalent courses. Solid
   state physics."
10333,"10331 Experimental introduction to physics of sustainable
energy or 10260 Physics of solar energy and energy storage and
10034 thermodynamics and statistical physics"
33321,"Bachelor exam in natural scientific or technical disciplines.
It is possible, however not recommended, to follow this course
without having had courses in materials science, solid state
physics and quantum mechanics. However, this will lead to
significant extra work compared to the norm. Knowledge of physics
and technology, including electromagnetism, classical mechanics,
optics, quantum mechanics (including quantum transport), material
science, as well as micro- and nanofabrication."
47301,"Basic familiarity with thermodynamics is preferred, e.g.,
10018, 26201, 28221, 41401 or 47201."
47302,"Bachelor in Physics and Nanotechnology, or Chemistry and
Technology, or Production and Construction, or Electro Technology,
or General Engineering, or similar"
47310,"10302/26021/47305, Bachelor in Physics and
   Nanotechnology, or Chemistry and Technology, or Production and
   Construction, or Electro Technology, or General Engineering, or
   similar"
47409,"10303/10333/47301, Basic knowledge of materials
   physics and experience with laboratory work and group work
   obtained, e.g., through courses 10030 and 10033"
10346,"01001.01002.02002.10033.10034, especially central material from
classical physics and mathematics, i.e., knowledge of mechanics,
thermodynamics, electromagnetism, vector analysis, and ordinary as
well as partial differential equations."
10400,"10033.10034.10036. , or equivalent
   courses."
10420,"10060, or equivalent
courses."
34540,"34020/34021, Can be taken at the same
   time"
41822,"41312.(02002/02631) , Knowledge of basic fluid
   mechanics and experience with Python (or similar programming
   tool)."
33647,"Mathematics and ability to calculate with pencil, paper, and
computer corresponding to the level of DTU's Master students of
physics and nanotechnology"
10380,"34020.10102, Photonics and quantum
   mechanics"
10401,"10033.10034.10036, or equivalent courses."
10200,"10036/10041/10102/10104/10303/10317, or equivalent courses. In
   particular it is important to have basic knowledge of x-rays as
   electromagnetic waves, crystal structures and the reciprocal
   lattice."
10220,"10034.10036, Thermodynamics and statistical
   physics Electromagnetism for
   physicists"
33355,"You are expected to know standard processes for cleanroom
fabrication of micro- and nanostructures at a level corresponding
to course 33255, “Fabrication of micro- and nanostructures”, course
33253, “Micro 1: Solid-state Electronics & Microtechnology” or
equivalent courses (otherwise selfstudy). You are expected to have
a background in basic electromagnetism and mathematics/differential
equations corresponding to 2nd year university
level."
42002,"01005, mathematics corresponding to
01005"
01621,"01617, Knowledge of nonlinear differential
equations, phase portraits, (local) invariant
(stable/unstable/center) manifolds and local bifurcations. Some
mathematical maturity (obtained by following 01125, say) will be
useful. Practical experience (obtained through 01257, say) is also
good, but not required."
10036,"10033.01005, or equivalent
   courses."
10112,"10102/10104.10303, Or corresponding
   courses."
10350,"01001.01002.01035.10033.10034.10036.10102.34020, especially knowledge of the
governing equations in mathematical physics for ion diffusion, heat
conduction, electromagnetism, quantum mechanics, hydrodynamics,
solid state mechanics, acoustics, and optics"
10405,"10033.10036, Mechanics and electromagnetism at
   bachelor level."
22680,"Mathematics and ability to calculate with pencil, paper, and
computer corresponding to the level of DTU's MSc programme in
Engineering Physics. Skills in basic MATLAB/Python
programming."
31428,"10036/31400, The participants must possess
   qualifications in fundamental electromagnetics corresponding to
   a typical undergraduate course comprising electro- and
   magnetostatics, time-varying fields, Maxwell's equations in
   diferential form, plane wave propagation, reflection and
   refraction, as well as transmission lines."
10102,"10036/31400.­01035/01325/34031, or equivalent courses, especially
   within electromagnetism and mathematics: series and
   expansions"
10321,"10033/10036/10317/22600/10102/34020, or equivalent courses"
10325,"10102/10104/26261, or equivalent courses.
   Especially, knowledge of basic quantum mechanics (Schrödinger
   equation, wavefunctions) and linear algebra. Basic solid-state
   physics (not a strict requirement). Some experience with
   numerical methods, e.g. Python/numpy, Matlab, Mathematica,
   Maple, etc."
33255,"For physics & nanotechnology students: The course can be
taken on the 3. or 5. semester."
34020,"10009/10013/10036/31400, not later that at the same
time"
34029,10030
47319,"Bachelor in Physics and Nanotechnology, or Chemistry and
Technology, or Production and Construction, or Electro Technology,
or General Engineering, or similar"
30120,"10033, 01005 Advanced Engineering
Mathematics 1 (MAT1) can be followed in
parallel."
10315,"10036.10102.10303. , or equivalent courses"
22651,Bachelor degree in science or technology.
33253,"Elementary electromagnetism and
mechanics"
33257,"Elementary electromagnetism and mechanics. Fulfilled the first
year of study on the Physics and Nanotechnology line of
study."
33323,"If you have completed three semesters in any engineering or
science study programme you can enter the course."
33491,"See the website for the projects that are offered:www.studyabroad.dtu.dk/​IWExperience in the projects you
prioritize is an advantage but not a requirement."
10302,"10112/10303/10317, or equivalent courses. Especially
   concepts from solid state physics like Bloch's theorem and
   the reciprocal lattice. The programming language Python is used
   in the course."
10305,"10303.10112, solid state physics, advanced
   quantum mechanics"
10314,"10036.­10102.­(10303/10317) , or equivalent
   courses."
10316,02450.­(02631/02632/02633/02692)
10323,"10303/10112, Basic knowledge of solid state
   physics on the level of Condensed Matter Physics and Nanoscale
   Materials Physics 10303 and familiarity with quantum mechanics
   at the level of Advanced Quantum Mechanics
   10112."
33442,"10102/26260.10303/10112, Knowledge of basic quantum
   mechanics (Schrödinger equation) and linear algebra. Basic
   solid-state physics. Experience with numerical methods, e.g.
   Matlab, Mathematica, Maple, etc."
47325,"10303, Solid state physics and nanoscale
materials physics"
10337,"10033.­10034.­10036.­01005.­01035, Or equivalent courses. Especially
   mechanics, thermodynamics, electromagnetism, vector analysis,
   ordinary and partial differential
   equations"
10384,"10102, or equivalent courses (basic quantum
mechanics) are an advantage but not absolutely
required"
30020,"30015/34600/30032.­10036/30400/34120, A basic understanding of
   electronic circuits and components as well as Matlab or
   Python."
30160,01035.30015
10306,"(10102/10104) .
   (10303/10317) .10112, or equivalent courses. Basic
   Experience with Python"
34127,"34020/34021, Optic and photonic"
10856,"Basic understanding of classical mechanics, electromagnetism,
vector calculus, and differential equations"
01325,"01035/01025/01034/01037, [Subjects from 01001.01002/01005,
   01020, or an equivalent course:] Linear equations and linear
   maps. Matrix algebra. Vector spaces. Eigenvalue problems.
   Symmetric and orthogonal matrices. Complex numbers. Linear
   differential equations. Standard functions. Functions of one and
   several real variables: linear approximations and partial
   derivatives, Taylor expansions, and quadratic forms. [Subjects
   from 01035 or an equivalent course:] Infinite series, power
   series, Fourier series. Convergence (absolute, conditional,
   point-wise, uniform) of infinite series, Introduction to the
   Fourier transform."
01715,"01325.01125, The course ""01325
   Mathematics 4"" or a similar background is necessary in
   order to follow the course. Furthermore it is an advantage (but
   not strictly necessary) to have passed ""01125 Fundamental
   topological concepts and metric
   spaces"""
01716,"01715.01418, Basic knowledge of partial
   differential equations and functional analysis"
02970,"The course requires mathematical proficiency at the MSc
level."
10386,"10102, Bare minimum is quantum mechanics
(10102), a more profound understanding of the technical side of
quantum technologies will be gained with a background in advanced
quantum mechanics (10112), quantum information (10384) or quantum
optics (10380)."
34031,01005.10036.10020
34451,34031
01622,"01617, Introduction to Dynamical
Systems"
10339,"(10034.­10303)/(26201.­26222) , Basic concepts from physical
   chemistry and/or condensed matter physics are needed for the
   present course."
47330,"10333Physics of Sustainable Energy /28870Energy and Sustainability , Bachelor
in Physics and Nanotechnology, or Chemistry and Technology, or
Production and Construction, or Electro Technology, or General
Engineering, or Design of Sustainable Energy Systems, or
similar"
33621,"33321, The course builds on your solid
physics and nanotechnology background with previous courses in
electromagnetism, quantum mechanics, thermodynamics, solid state
physics, photonics and material science, and is specifically
targeted at master and Ph.D. students, who are expected to be
familiar with scientific articles, presentations, and academic
writing. A general course in nanotechnology will be a great
advantage. Without any of these prerequisites a significant amount
of extra preparation work is necessary."
47316,"10034/26201/26222, Basic physical or chemical
understanding of solids, molecules and thermodynamics. For example
from 10034, 26201 or 26222"
47318,"26027/26000, Introductory chemistry course -
either Fundamental chemistry, 26027, or General chemistry, 26000.
Bachelor in Sustainable Energy, Mechanical Engineering, Production
and Construction, Electro Technology, Physics and Nanotechnology,
General Engineering, or similar. Or students on the MSc study
programme Petroleum Engineering."
33422,Bachelor degree in science or technology.
31761,420030240231742
33722,Bachelor degree in science or technology.
34550,"10036, Basic courses in mathematics and
physics Med-tech"
10467,"10036/10041/31400, electromagnetism"
33474,"The course will be made to fit your level of competence
(beginner, experienced, advanced)."
34032,"10036.10102.10303.34033, can be taken at the same
   time"
10814,"10820, Radiation Physics, KU 180 (Medical
applications of ionizing radiation)"
22481,"22476, Physiology and anatomy. Good
knowledge of Python is essential. It is an advantage to have
completed course 22476."
22485,"22052.22481.02002/02003, Courses in signal processing of
   stochastic signals and introduction to medical imaging systems.
   Knowledge of programming."
02323,"01002/01005/01901, At the latest at the same
   time."
22179,"Students should have a ""case"" to eventually use as a
course project. This case can be the student's master project,
the student's invention or any project/idea with commercial
potential. Students unsure whether their ""case"" is
acceptable should contact the course coordinators before enrolling
for the course. Make sure that your supervisors are aware that you
will present the case in a classroom and, especially if you come
from industry, make sure to have a written confirmation that you
can use such a case (by email, for example). Not having a case is
not a problem as we work in groups. Still, The more ideas we have
to work on, the easier it is to make groups. Students will be
grouped in teams of 4-5 to work on an implementation plan based on
a specific case."
22235,"A good basic understanding of chemistry (1 or more of medicinal
chemistry, organic chemistry and physical chemistry) and biology (1
or more of human physiology, eukaryotic cell biology and molecular
biology)."
24102,"27321, Some knowledge of immunology is
necessary, e.g. by following the course in immunology in
parallel."
26436,"Basic knowledge about organic chemistry and
biochemistry"
27102,"General knowledge on antibodies and on the immune system,
biostatistics as well as basic knowledge on proteins and nucleic
acids."
36685,"27611.(27321/27322) , or equivalent. A basic
   understanding of immunology and protein structure is
   recommended."
41683,"26171/26471, General chemistry and organic
   chemistry"
23101,"23711or23511, or similar level in Food Science
& Technology (including food
microbiology)"
23102,23101
23211,"23101, Knowledge about food chemistry is
highly recommended and can be obtained by taking course 23302
either before this course or in parallel."
23520,"23711.23511, Or similar competencies"
42373,42421
23932,26171.26173
26126,"26124, Elementary knowledge of
biochemistry"
26610,"(26000/26027/26028/26030/26050).­26010, Introductory Project in Chemistry
   which contains an introduction to different types of literature,
   including scientific journals, patents, conference proceedings,
   and have worked with a project containing a so-called open
   question."
28214,28212/28213
28316,28315
28345,"27002/27022/27932, Kemi- , miljø- or
Bioteknologifagpakke or bachelor or
equivalent"
28434,"28020.28160, or
   similar"
12132,12130
12136,12102
12142,"12202/12139/42340/12205/25105/42372/42377/28870/12104, (at least two these courses or
   equivalents)"
31778,"Basic knowledge of electrotechnics, thermodynamics and
Matlab-Simulink. Students taking both course 31778 and 31783 are
advised to take 31778 before 31783."
41343,41401/41045/26201
41416,"41045/41401/41431/62604/47201.­(41402/41409/41419/41420/41421).­41065/41312/41814, The students are expected to have
   a background in applied
   thermodynamics."
42003,"01005, Knowledge of energy sector issues,
structure and interest in resource and environmental problems in
economic theory. For students that have no previous experience
regarding microeconomic theory, it is highly recommended to read
Chapter 2 of Managerial Economics, D. Salvatore, Oxford University
Press, 2012, before the beginning of the course."
46230,"01005.­10024/10020.­02631/02633, Mathematics corresponding to
   01005, physics corresponding to 10024 or 10020. Introduction to
   Matlab"
28443,"28240/28341/28140, An introduction course in
   chemical reaction engineering, experience in numerical solutions
   of mathematic models, such as 1 p course in Fortran or
   Matlab"
28872,"27002, or similar"
28811,28212/28213/41736/41737
28423,"28221, Applied Physical Chemistry, Chemical
Engineering Thermodynamics"
28923,"A basic and working knowledge of statistical concepts and
modelling are required. A basic and working knowledge of Matlab
programming is required."
28271,"28121, The course will be made to fit your
level of competence (beginner, experienced, advanced) but
experimental experience in pilot scale is recommended."
28415,"01035, Basic mathematical education on the
level of bachelor program in chemical engineering or similar.
Initial knowledge of partial differential equations and/or fluid
flow."
28455,"28345 Basic knowledge on the use of Python or MATLAB at the
start of the course is an advantage, but not a necessity."
26426,"26411.­(27002/27008/27020).­(26202/26211/26222/26220) , Followed simultaneously with
   26426 at the latest. Bioengineering and Organic Chemistry 2.
   Physical Chemistry for the Biological Sciences or Physical
   Chemistry 2 is also suggested."
11441,"11440, Basic petroleum engineering or
equivalent"
11442,11441/11418
28885,Fundamental knowledge in physics
41420,"41401/41045.­41402/41409/41814, The students are expected to have
   a background in engineering thermodynamics and some knowledge on
   heat transfer."
41524,"41511.­41502/41534.­41312/62657, Basic knowledge within machine
   elements. Continuum mechanic. Fundamental conservation equations
   for fluids"
26428,"26411, Organic Chemistry
2"
41736,"Previous knowledge of plastics, processes, heat conduction
theory and thermodymamics 28213 / (41015.41065.41045) / 41785 /
(41704.41703). 28213 can be attended at the same semester as
41736."
28871,"27034/28025/28872, or similar"
41421,41401.41419.41814
42004,42003.28870
28535,"28530, Elementary fluid dynamics
corresponding to course 28530. Programming experience corresponding
to course 28864 Introduction to Matlab
programming."
28344,"28022.28020.23932, Knowledge of chemical engineering
   concepts that are used in the chemical, biotechnological, and
   the pharmaceutical industry"
12104,"02002/02003.­02402.­12102/12111, Programming (mainly Python) is an
   essential prerequisite for the course. Students not having
   previous programming knowledge are required to get basic skills
   before the start of the course (refer to the material available
   at cp.compute.dtu.dk). Good knowledge of both statistics (02402)
   and environmental processes (12102/12111) is required to achieve
   the course learning objectives"
12110,12102/12104/12108/12109
12121,"(12102)
(12134)
(41102) , water chemistry, hydraulics,
process technology, basic microbiology"
12138,"12134, Environmental Microbiology or
Equivalent (theoretical and practical experience in basic
microbiology)"
12233,12102/12111/12320
12237,12102//02402
42631,Bachelor project. Good knowledge of analysis.
47320,"BSc in chemistry, physics, materials, chemical processes or
similar"
02508,"02323.01901, At the latest at the same
   time."
47519,"Basic knowledge in electrochemistry and catalysis is
advantageous"
42006,42002.42003.42004.42007
26171,None
26173,"26171.26371, followed simultaneously or
   earlier."
26271,"26171, The course requires knowledge of
general chemistry"
26371,"26171.26173, together with 26171 and 26173 at
   the latest"
26374,26271
26471,"26171, - or another course in general
chemistry"
26474,26471
28016,"01901.01920.28022, (28022
   concurrent)"
28322,"26271.28022, (28022 concurrent). Spreadsheet
   knowledge (MS Excel)"
22200,"General immunology (corresponding to 27322: Immunology).
General knowledge of cell biology and physiology."
24001,"27002/27734/30000/30001, or 035221 (KVL)
   27021"
26002,26001.26400
26416,"26411.26428, Organic Chemistry 2. Spectroscopy
   of Organic Compounds"
26446,"26426.26433, Introduction to Medicinal
   Chemistry and Organic Chemistry 3"
27691,24690/33690
26407,26411
27692,24690/33690
36040,"(27002/27008).­27022.­27026.­27611, Knowledge of cell structure, its
   biological function, subcomponents, biochemical and molecular
   processes (metabolism, RNA- and protein synthesis), structure of
   DNA, protein-coding genes, the standard genetic code, the
   primary (sequence), secondary (helices/coils), tertiary (3D) and
   quaternary (complex) structure of proteins. Basic knowledge and
   ability to apply bioinformatics methods and the knowledge to
   collect and process relevant biological data from large-scale
   databases such as UniProt and GenBank."
28909,"Chemical Engineering Thermodynamics and a working knowledge of
Fortran"
01037,"01002/01004/01005/01006/01015/01920, Knowledge of complex numbers,
   matrix calculations, eigenvalues and eigenvectors for matrices,
   systems of linear first order differential equations and linear
   differential equations of first and second
   order."
28346,"28344or27034and28345, Fermentation technology knowledge
and Bachelor in Chemistry & Technology Biotechnology or
equivalent. For a successful participation in this course it is
very important to have previous experience with microbial cultures.
We expect you to have some previous experience with the following
basic techniques (or a part of it): media preparation,
sterilization in lab scale, inoculation, starting up and operating
microbial cultivations in lab scale fermenters, sampling and
preparation of samples for analysis. If you are not coming with the
above described experience (or a part of it) it is better not to
take the course."
12108,"12102.12104.12134, Course in Water Chemistry, Course in
Environmental Processes, Course in Microbiology or
Equivalent"
28246,"Bachelor in either: Chemistry and Technology; Biotechnology;
Food and Drug Technology; Food Science/Technology or similar.
27022. 27334 and/or 28140"
41315,41312.41323
41346,"41344/41347, or similar course in combustion
   engines. Experience with programming in
   Matlab."
41401,10022/10028/10034/26201
41418,"41401.­41045.­41402.­41416.­41417, Basic thermodynamic knowledge is
   an advantage (e.g. 41401, 41045). Experience with thermodynamic
   modelling of energy systems is an advantage (e.g. 41402,
   41416,41417)."
46000,"01003.­01004.­41312/41102.­41501, Basic programming skills are
   recommended, preferably in Python (e.g. loading and analyzing
   time series of data, curve fitting, finding zero of nonlinear
   functions, arranging code into
   functions)"
42171,"Knowledge of basic probability calculations and
statistics."
12130,12102/12202
27412,"26400/27022/27734, Theoretical knowledge of the most
   important areas in biochemistry. Able to solve general and
   biotechnological problems."
47304,"(26000/26027/26026).­(10303/41681/41659/41650) , Basic knowledge of chemistry,
   physics and materials science, for example one course from each
   of these groups of courses: (26000/26027/26026) and
   (10303/​41681/​41659/​41650). Bachelor in Chemistry and
   Technology, Physics and Nanotechnology, General Engineering
   (Advanced Materials and Future Energy), Mechanical Engineering
   or similar bachelor programme"
26011,26007/26008
27246,"27022.28140, Bachelor in either: Chemistry and
Technology; Biotechnology; Human Life Science; Life Science
Engineering; Food Science/Technology or
similar."
28247,"27022.27734.28140.28246, 28246 (previously 27506) Applied
Enzyme Technology and Kinetics is a required prerequisite for this
course, but can be taken simultaneously. Bachelor in either:
Chemistry and Technology; Biotechnology; Food and Drug Technology;
or Food Science or similar."
27247,27022
11418,"11411.11441, Basic geotechnical engineering.
   Geology or equivalent"
11443,11440/11462/11411
28515,"28415/28885eller tilsvarende/or
   similar"
27421,"(02323/02402).­(36611/27611) , equivalent to solid knowledge of
   statistics and bioinformatics"
27461,"27002/27008/23932, Good understanding of biological
   processes, the internal structure of cells and their biological
   function. Fundamental knowledge on species diversity of
   filamentous fungi and their functions regarding their positve
   and negative influence on the surrounding environment and an
   optimal exploitation of their characteristics for
   biotechnolgical purposes."
26202,26000/26050/26027/26028/26030/26171
12135,"12130, or documented experience on solid
waste management."
33281,"Basic materials science (fx 41650 or 41015), basic cell biology
(fx KU011 or 27002) and immunology (fx KU001 or 33481)"
33334,"27231/27232, or equivalent"
11430,"11462eller11440, Or equivalent course in elementary
geology"
26255,26201/26202.26222/26231
42378,"423721223711957, Bachelor in Environmental and/or
Chemical Engineering, or equivalent. Ideally, at least one of the
aforementioned courses or similar qualifications."
22117,"22111.22113, Basic knowledge of Bioinformatics
   and Chemistry"
26125,26300/26301/27002/27020/27022/27023
22126,"27002/27008/27230/27430/22101, Basic command line skills (i.e.
   locate or copy files via command line). We recommend that
   students brush up on their molecular biology prior to the
   course, so they understand the structure of DNA and the central
   dogma of molecular biology (DNA->RNA->protein)."
22208,"27002/27022, It is recommended to have insight
and interest in life sciences, organic chemistry and
biochemistry."
01920,01901
23552,"23101.23564.23532.42500, It is an advantage if you have had
course 42500 or similar on innovation in engineering. It is also an
advantage if you have had course 23531 on how to make a business
plan for a food product before this course and course 23532 or
similar courses on HACCP before taking this course. Other courses
on food safety and risk analysis would also be very valuable. You
are encouraged to work further on concepts developed in other
courses."
23564,"Food technology, chemistry and microbiology on a bachelor
level."
23511,"The students are expected to be familiar with basic engineering
concepts, both mathematical (e.g. solving algebraic equations,
changes of variables) and physical (e.g. density, temperature); as
well as the use of spreadsheets."
41786,"(41781).­(41681).­(41533).­(62603) , Production Technology
   (Fundamentals) (41781). Materials science (41681). Dimensioning
   and Strength 1 (41533). Thermodynamics with project
   (62603)."
62662,Good English skills.
42576,"The course requires a basic understanding of data analysis
methods (e.g. machine learning, social data science, or
statistics)."
22281,"41684/41015.KU011/27002, Basic materials science (fx 41684
   or 41015), basic cell biology (fx KU011 or 27002)"
26701,"Some of the projects may have particular qualified
prerequisites."
62214,62212og62213
62215,62212.62213.62214
27611,"27002/27932, Based on the cell acquired basic
   understanding of biological processes, which are used in the
   industry. Knowledge of the cell structure, their biological
   functions, biochemical and molecular biological processes
   together with biotechnological
   processes"
41686,"26171, General chemistry and organic
chemistry"
41687,"The course requires simultaneous attendance or prior passing of
41686 (41683 in the new 5 ECTS version)."
24691,24690
36692,"Ideally, you have defended your master thesis project on
Pharmaceutical Design and Engineering, Bioinformatics and Systems
Biology, Biotechnology or equivalent
educations."
24101,"General knowledge on antibodies and on the immune system,
biostatistics as well as basic knowledge on proteins and nucleic
acids."
33902,"26426/27311/27430, The course should be taken after
   6th semester where there is a good basic understanding of
   chemistry and biology Introduction to Medicinal Chemistry/Human
   Physiology/ Eukaryotic Cell Biology and
   Disease"
33901,"Basic knowledge of cell biology and molecular biology
methods."
24103,"General immunology (corresponding to #27322: Immunology).
General knowledge of cell biology and physiology."
24104,"General knowledge in Immunology (DTU course # 27322 or
relevant) and cell biology"
33692,"Basic knowledge in microfabrication or bioanalytical
chemistry"
31529,"41501, Strength of materials, mechanics,
vector analysis"
33336,"Basic understanding of classical mechanics, electromagnetism,
vector calculus, and differential equations"
47326,"47325, Large-scale superconductor
technologies or similar. Bachelor in Physics and Nanotechnology, or
Chemistry and Technology, or Production and Construction, or
Electro Technology, or General Engineering, or similar"
34430,"Basic courses in mathematics and
physics"
02452,"02450/02451, Basic course in signal processing
   as well as basic knowledge of machine learning or
   statistics."
31220,"31200.­(31003/31004).­31605, Thorough knowledge of simple
   analog electrical circuits, including Bode-plots, coupling of
   resonant circuits and basic mechanics."
31245,(31220/31240/31260)
31265,"31200, 31200 Fundamentals of Acoustics and
Noise Control. A programming background is
expected."
10347,"10022/10024/(10033.­10034).­01035.­27002, 10036 passed, or at the same
   time; mechanics, thermodynamics, and
   electromagnetism."
34034,34021/34020/34127/34033/10370
34052,10036/10370.34031/34530
34440,34052/34430
10850,"22600, Or equivalent
courses"
22403,"Basic knowledge of microfabrication and sensoring
principles"
33250,"33253/33255, Basic knowledge on solid state
   electronics and physical chemistry is
   required."
31522,01005
31524,"31521/(31520.31522) , An undergraduate level course in
   fluid mechanics and mass transport is essential."
31528,"31605.­31531.­01035.­(26202/26222) , Knowledge of solution of linear
   differential equations is a prerequisite. Knowledge of linear
   signal processing is an advantage."
31590,"Only for students enrolled in the Master degree in Medicine
& Technology. Visiting medical technology students are invited
to send documentation for relevant courses passed at foreign
institutions. Admission to the course will be decided based on
evaluation of the provided documentation."
10521,"10104/10112/10303/10036, or equivalent courses."
31200,"01005/01007, Advanced engineering mathematics
   1/Linear and differentiable mathematical models (or
   equivalent)"
34041,"10036/31400/34020/34021, Knowledge of Maxwells field
   equations, and the electromagnetic wave equation. Knowledge of
   vector mathematics, calculus, and differential
   equations."
34051,10102/34020
34153,10370/34033/34020/34032/34021
22475,"41501, Strength of materials, mechanics,
vector analysis"
22511,"10036, Basic courses in mathematics and
physics Med-tech"
31566,"31560, Matlab"
